Frame,Left Arm Angle,Right Arm Angle,Left Leg Angle,Right Leg Angle,CoM Velocity,Move Successful
0,68.67729485752218,135.57395133278186,171.2234101149236,152.15821991419128,0.0,No
1,82.13222900701626,144.43467307807322,174.3377617915568,156.84736134589832,0.7206699237475298,No
2,82.13222900701626,144.43467307807322,174.3377617915568,156.84736134589832,0.7206699237475298,No
3,82.13222900701626,144.43467307807322,174.3377617915568,156.84736134589832,0.7206699237475298,No
4,82.13222900701626,144.43467307807322,174.3377617915568,156.84736134589832,0.7206699237475298,No
5,82.13222900701626,144.43467307807322,174.3377617915568,156.84736134589832,0.7206699237475298,No
6,82.13222900701626,144.43467307807322,174.3377617915568,156.84736134589832,0.7206699237475298,No
7,82.13222900701626,144.43467307807322,174.3377617915568,156.84736134589832,0.7206699237475298,No
8,82.13222900701626,144.43467307807322,174.3377617915568,156.84736134589832,0.7206699237475298,No
9,82.13222900701626,144.43467307807322,174.3377617915568,156.84736134589832,0.7206699237475298,No
10,82.13222900701626,144.43467307807322,174.3377617915568,156.84736134589832,0.7206699237475298,No
11,82.13222900701626,144.43467307807322,174.3377617915568,156.84736134589832,0.7206699237475298,No
12,82.13222900701626,144.43467307807322,174.3377617915568,156.84736134589832,0.7206699237475298,No
13,82.13222900701626,144.43467307807322,174.3377617915568,156.84736134589832,0.7206699237475298,No
14,82.13222900701626,144.43467307807322,174.3377617915568,156.84736134589832,0.7206699237475298,No
15,82.13222900701626,144.43467307807322,174.3377617915568,156.84736134589832,0.7206699237475298,No
16,82.13222900701626,144.43467307807322,174.3377617915568,156.84736134589832,0.7206699237475298,No
17,82.13222900701626,144.43467307807322,174.3377617915568,156.84736134589832,0.7206699237475298,No
18,82.13222900701626,144.43467307807322,174.3377617915568,156.84736134589832,0.7206699237475298,No
19,82.13222900701626,144.43467307807322,174.3377617915568,156.84736134589832,0.7206699237475298,No
20,82.13222900701626,144.43467307807322,174.3377617915568,156.84736134589832,0.7206699237475298,No
21,82.13222900701626,144.43467307807322,174.3377617915568,156.84736134589832,0.7206699237475298,No
22,82.13222900701626,144.43467307807322,174.3377617915568,156.84736134589832,0.7206699237475298,No
23,82.13222900701626,144.43467307807322,174.3377617915568,156.84736134589832,0.7206699237475298,No
24,82.13222900701626,144.43467307807322,174.3377617915568,156.84736134589832,0.7206699237475298,No
25,82.13222900701626,144.43467307807322,174.3377617915568,156.84736134589832,0.7206699237475298,No
26,82.13222900701626,144.43467307807322,174.3377617915568,156.84736134589832,0.7206699237475298,No
27,82.13222900701626,144.43467307807322,174.3377617915568,156.84736134589832,0.7206699237475298,No
28,82.13222900701626,144.43467307807322,174.3377617915568,156.84736134589832,0.7206699237475298,No
29,82.13222900701626,144.43467307807322,174.3377617915568,156.84736134589832,0.7206699237475298,No
30,82.13222900701626,144.43467307807322,174.3377617915568,156.84736134589832,0.7206699237475298,No
31,82.13222900701626,144.43467307807322,174.3377617915568,156.84736134589832,0.7206699237475298,No
32,82.13222900701626,144.43467307807322,174.3377617915568,156.84736134589832,0.7206699237475298,No
33,82.13222900701626,144.43467307807322,174.3377617915568,156.84736134589832,0.7206699237475298,No
34,82.13222900701626,144.43467307807322,174.3377617915568,156.84736134589832,0.7206699237475298,No
35,82.13222900701626,144.43467307807322,174.3377617915568,156.84736134589832,0.7206699237475298,No
36,82.13222900701626,144.43467307807322,174.3377617915568,156.84736134589832,0.7206699237475298,No
37,82.13222900701626,144.43467307807322,174.3377617915568,156.84736134589832,0.7206699237475298,No
38,82.13222900701626,144.43467307807322,174.3377617915568,156.84736134589832,0.7206699237475298,No
39,82.13222900701626,144.43467307807322,174.3377617915568,156.84736134589832,0.7206699237475298,No
40,82.13222900701626,144.43467307807322,174.3377617915568,156.84736134589832,0.7206699237475298,No
41,82.13222900701626,144.43467307807322,174.3377617915568,156.84736134589832,0.7206699237475298,No
42,82.13222900701626,144.43467307807322,174.3377617915568,156.84736134589832,0.7206699237475298,No
43,82.13222900701626,144.43467307807322,174.3377617915568,156.84736134589832,0.7206699237475298,No
44,82.13222900701626,144.43467307807322,174.3377617915568,156.84736134589832,0.7206699237475298,No
45,82.13222900701626,144.43467307807322,174.3377617915568,156.84736134589832,0.7206699237475298,No
46,82.13222900701626,144.43467307807322,174.3377617915568,156.84736134589832,0.7206699237475298,No
47,82.13222900701626,144.43467307807322,174.3377617915568,156.84736134589832,0.7206699237475298,No
48,85.72210635119258,145.7063720671947,176.22038570543825,156.5918991798106,0.3953528562391883,No
49,102.48781929999896,151.51505293767423,178.53180276962166,157.3794523769793,1.5027019399904182,No
50,121.22204049604706,154.08819957258595,179.80053318820313,158.13060638646715,0.2075091761379799,No
51,123.16750234926042,153.8501400500636,179.2932421628259,158.91017308367344,1.3859399356293536,No
52,134.1147802560745,150.6649961822368,179.64979012737436,159.4280924252977,0.1169704505717801,No
53,136.64788251896155,152.16317888486572,179.5758761484877,159.63058655838316,0.2087379495831335,No
54,155.2276152106361,151.83524443070905,179.57181671565957,163.45114193532612,0.1296082593059253,No
55,154.67537629288412,151.32534535584838,179.22834431845462,166.92304765670585,0.2150844845228831,No
56,152.47597057034687,150.33061448545064,179.08269292047768,165.53235854681742,0.1957067828518874,No
57,156.39073856314036,153.56951483906377,179.6614375742708,165.49971191110575,0.222810217123493,No
58,161.76331186898182,156.54486941068515,178.91944874041545,166.00594108749522,0.9467642369337206,No
59,141.0560293943245,152.78662664305023,179.15241306999448,167.24281768136626,0.4089577918207929,No
60,144.309988403084,151.26901418301026,177.7329651563491,166.4221920873968,0.1663079754632747,No
