Frame,Left Arm Angle,Right Arm Angle,Left Leg Angle,Right Leg Angle,CoM Velocity,Move Successful
0,71.67783819473142,72.11704920659355,158.49411773431808,150.86522842290194,0,No
1,77.35391454220864,85.16738392735033,158.17576853082502,151.90297549256442,2.236173720575102,No
2,79.44974254512246,92.31522081394765,157.257059255525,153.3167676062966,0.5890000990440818,No
3,79.22882658264264,78.50266260873762,154.66436111423087,153.30233219582337,0.14579521563244466,No
4,71.20198963862344,101.76504142628524,149.1044058972034,151.89690856580947,0.6593140530222371,No
5,75.54733241781152,77.32199334846723,147.22044449883217,151.01034984362815,0.11124178393629955,No
6,79.95846093113568,77.84339063949555,153.99197417045997,154.7006163915724,0.26489008488356297,No
7,73.08903405002391,89.48271740119452,155.72855479253695,155.83636856535685,0.256174275540601,No
8,66.21543602192408,94.1491415224787,152.19266577001625,155.08534093585519,0.14148555842225177,No
9,85.16372955152185,111.8354714801231,155.02636430039007,153.47555776544613,0.5695475909533544,No
10,84.71204947965703,112.38364309672454,156.52165041774884,153.74849034281962,0.2053673549385963,No
11,73.86588355886288,134.99288069034696,156.50179596246957,157.07871653001894,0.5494860029894714,No
12,68.96120323068197,140.56180593644982,157.21157639577802,157.90562391318713,1.1645016982786631,No
13,78.82090917138137,139.46236637022503,161.46204664130443,158.68279015196293,1.0038197230370052,No
14,59.15072599697372,139.237020954408,163.9477657559884,160.97503970112697,2.59028811544723,No
15,83.3672118312566,133.03125970593717,163.73009377971354,160.29699745435207,0.413760031061924,No
16,85.96377868704265,141.06767319460027,163.3928797578213,158.68012408752193,3.7214279137228785,No
17,130.09641813577872,149.62066686558916,163.16855157856864,160.5517820214836,0.39043797333651936,No
18,129.20389452241596,150.24138707218944,164.87065832975804,158.6945374374967,2.1080313486495617,No
19,134.35420711723395,153.88956694933043,167.58748473373103,156.9210924125507,1.242415483864354,No
20,145.26969203037535,155.673132414591,168.7818140085584,154.8755272777216,1.236060533877021,No
21,115.32785028703954,111.43367983712825,165.64847672162458,148.18338687369524,0.1788195685037525,No
22,147.91129061870956,70.72236303761233,162.58964172898703,141.41258517836798,0.5603505115166268,No
23,142.90547239662308,52.924218826448765,162.71723685529707,139.968296146135,0.7806327249619891,No
24,149.74215359837447,112.9162712809232,165.32251606144962,146.77062442986747,0.28149585114682346,No
25,148.7646582561896,119.31529941222871,168.32830295097418,147.57261447109994,0.6445822116077521,No
26,151.9990969342548,99.72951227571058,169.37598572084408,147.90870520289988,0.32918595782854815,No
27,153.9700251586234,127.05951876034825,173.08218050460243,149.07617437075243,0.17579038151853985,No
28,153.25714652948005,148.45548588966733,175.08086866422983,151.5973444374241,0.28560764897294955,No
29,152.56648032968238,151.51715499094368,177.71878567289335,150.42047017951637,0.45504717710376497,No
30,153.81979997113214,152.87816893485734,178.61554949346854,150.80161273724954,0.32640500016719015,No
31,152.8249802406108,152.07620701482756,178.94433036296996,150.61256620086434,0.13530977431479832,No
32,153.33139515181136,153.56022297138068,178.00064475675396,150.7812100718593,0.2998056523257113,No
33,154.5036397135978,156.6561917018046,179.0452141904977,150.26934894108874,0.0802680891741067,No
34,152.55673754300503,157.32853047458693,179.71783583458557,147.4645558863202,0.5244602372269016,No
35,152.2527425957435,158.56358725016457,178.30500846106352,148.12903051188573,0.055663161339053885,No
36,152.25748480441717,157.61667272828097,178.5359052029836,148.57658076837217,0.04432107877758583,No
37,151.8606146444565,157.52958142814987,177.44297432281567,148.42073762800996,0.08714150899166888,No
38,151.94623333102408,156.50941382031917,176.6930264020996,149.95660968200494,0.0692441271301595,No
39,151.99732477303107,158.83245456661592,176.07152626607984,149.47611759898808,0.023467392199179163,No
40,151.60457144720408,159.86951828661103,174.24699224464624,148.7902387589984,0.06123722526485676,No
41,151.42032232502632,159.0467375630613,174.79607919450282,147.78259988204877,0.02100370733003552,No
42,151.50405688929544,160.50651320636905,175.06889066128232,147.06265524988828,0.04516445647321333,No
43,150.92396053443522,160.40462608845544,175.31990653401377,146.08728591608084,0.08142606127776202,No
44,152.10727325142267,159.4675001385402,174.75144619374134,146.08325339953956,0.20312440087122105,No
45,152.50302980070248,161.25628262209275,174.10145193915582,146.7600282350504,0.3570046382147774,No
46,153.561113553498,162.928871735789,174.71257502023994,147.22542238704364,0.24276306734215347,No
47,154.1777712836224,161.69515619560147,175.4518826128062,147.6202703479975,0.13607332871475603,No
