Frame,Left Arm Angle,Right Arm Angle,Left Leg Angle,Right Leg Angle,CoM Velocity,Move Successful
0,152.8211836223157,164.1772956489766,178.23083666998457,165.7106603420574,0,No
1,151.06518215694464,162.8904494522779,174.603214066608,164.22299921479706,1.598505615382319,No
2,151.276994032001,163.860250191728,177.92596476337968,164.53864851148248,0.5495202338863522,No
3,150.5202399686664,161.17958519398118,179.0737279109969,165.70497357831454,0.16183344118827217,No
4,145.40572316061045,158.98785512029923,179.23308731447747,165.17248334616,0.16322795137309826,No
5,153.1612929415831,160.47721441279256,179.6243566495633,164.74271672729878,0.7403546731753299,No
6,149.86781191642683,162.8431520291891,172.81858826957003,162.4780961151451,0.1231173408496793,No
7,145.00453035428924,164.02092203599918,173.506926927827,162.432720028379,0.009796557048943956,No
8,136.0650338273275,163.87660591055175,169.26001338196855,160.341763004779,0.33366139628608343,No
9,137.44563768355442,165.81632624895863,168.3749352846163,161.34136799419096,0.7868962211629432,No
10,123.37638776506724,166.83764756851684,163.83302246152613,161.46491047915154,0.3358347977873107,No
11,88.91674716923514,161.86688322907273,164.67894235761395,160.0816907673342,0.4447456427253035,No
12,122.97233066641135,166.19901323927917,164.6572871814783,158.14200244272652,0.44167249899981115,No
13,122.78187219189248,166.49404814263784,164.94230750983422,157.55957178307946,0.1042293403087673,No
14,135.154015862097,165.77080333464806,166.63149482825546,157.73188654263586,0.19263549554963558,No
15,126.14839881841085,164.7322581176062,170.70722880999307,157.9326706884409,0.06947216837172028,No
16,137.86089652273736,164.28999417814424,171.12705268462662,158.208299208063,0.681127016368705,No
17,153.20310567477173,164.9764323299305,171.14788979508387,158.98269680969597,0.7983063938839331,No
18,157.9216732331778,165.4906432936373,171.92277543472633,159.26522800811168,0.42120495655451834,No
19,165.36484165163318,164.78333061298835,173.22050589770612,159.61312760782297,0.8677371455504107,No
20,168.0227018002586,161.60608297913492,175.82575643184236,162.57504610574543,2.099083347964985,No
21,169.64575319207177,160.21519054406792,172.90287673154094,157.0145769871449,0.5961341630459355,No
22,165.28964113240886,158.8511610622429,174.3125400274054,161.5378661850847,0.8231671666979089,No
23,164.30569309573602,154.66688536624835,174.28434160736137,164.39289679976278,0.3849429814174785,No
24,166.3429261382447,150.33194460761035,176.1954422915395,166.113960471887,0.37333143731666374,No
25,172.7078448914157,151.47970988319994,172.54561657549647,159.30278724769542,3.4177586435204477,No
26,168.53348791898068,151.04335031535723,172.0824611292514,158.70741986614547,0.6009137222608449,No
27,167.4161370669007,150.24985456919848,170.00222714457755,156.8515675194401,0.3949923057709001,No
28,167.03781735268134,146.08876271417074,171.85191479464692,152.81263947011524,0.6477263685669828,No
29,164.95839221070239,130.3539251048176,171.60396928087386,157.4565288473872,2.6397093388209605,No
30,163.3785659100026,134.6431315514471,172.80301894364547,155.82262300850755,0.45680582139524023,No
31,160.54153624214086,135.36888007569968,167.7916525143671,155.33887387247538,0.5690038972372701,No
32,159.94327081274778,140.46969915563767,166.5518455554009,167.20351657427253,0.5550976219393545,No
33,160.49205084964441,139.91721066309842,165.14974965851724,163.96509961121535,0.6784005576481724,No
34,155.2307113086685,141.36438924656235,164.14390131927718,161.7318484756108,0.46172293159095473,No
35,152.49850726636492,143.8794943127034,163.47581907272445,165.17442097378802,1.8080402197922392,No
36,152.75264339862002,147.89805562982613,167.35929976401744,165.99159607036492,0.1531504486951252,No
37,132.02436763751533,148.66158015466056,163.6721382850183,162.93971555389538,2.9412321630236162,No
38,84.44683439440385,133.75312272391858,162.67391948850604,149.39464779730372,2.8406628592502026,No
39,102.84072817683109,127.51871403623583,163.63922699417975,159.4582707881164,0.1812419050685544,No
40,121.46891825091319,124.77797297763044,163.9347126872136,156.4037609086577,0.8290638840961395,No
41,105.88703173449187,138.52567611650178,161.2815214741972,152.60773279116307,1.3578429441117936,No
42,113.34625969004175,138.535877343215,165.15940708089929,148.3369050578203,0.44699143397945434,No
43,155.22757078445596,135.4284027426786,168.4706957426308,149.73937324377977,2.879944171224724,No
44,123.50998006764017,124.76361062207326,170.5336081710423,152.06723843228582,0.9352821390191866,No
45,115.86649406810079,121.56458285485773,171.84455349468746,155.37404896480413,1.3303140421517203,No
46,125.15879614485078,118.65730873471051,177.38120249466672,166.12320191989792,0.6928764548444367,No
47,108.69250859822954,114.57156016366352,177.5033501786616,162.81445704314916,3.1811147618612305,No
48,108.19392840644117,142.91673756405464,175.39720685569267,170.73594347263838,0.4828237387895939,No
49,127.50194848231094,146.9348842065789,175.156049373717,170.64312560573538,0.7331191698832262,No
50,123.4837694496384,148.0164949202539,176.33654300459563,161.03223920418418,0.8029937230826897,No
