Frame,Left Arm Angle,Right Arm Angle,Left Leg Angle,Right Leg Angle,CoM Velocity,Move Successful
0,157.95284692551863,137.02403363633255,156.0302088911531,166.97584378970302,0,No
1,159.02892517521983,141.80004472080273,165.45276083862416,168.09078648384923,0.34351576119380794,No
2,157.96700408870188,138.98307635691586,162.51451940447762,170.46333093243024,0.11691010284231586,No
3,158.5792940917202,140.64102450432102,159.27741418993483,173.1364674671056,0.5497391611846705,No
4,157.30701708484946,139.44617456602225,159.23950677942491,173.6859536313883,0.3135481957721238,No
5,156.29403665579042,144.3444613917911,157.49385645001604,173.30424575752622,0.28445148061217385,No
6,156.4792746927559,147.19155331238358,156.62567305754686,173.1427460494452,0.45598629542356833,No
7,155.31546112925568,147.7797941501623,157.8908321079436,172.6802214539461,0.22490964171209105,No
8,154.7069214794463,147.91831411541202,153.7533516885959,172.14135549833145,0.20982239154962554,No
9,154.86561842786458,144.31728847280579,153.3336059115037,171.283885149338,0.5207093008954513,No
10,153.99588969790824,147.22656903948334,153.7953665202253,171.81408096864146,0.3256802643921987,No
11,153.61580124839153,148.72652080471997,151.45627856260575,172.09629838720662,1.5036663440513516,No
12,149.00472133086157,148.52639049399514,155.07839930488254,172.20786261809826,0.15783996964728136,No
13,141.9154248014523,148.88143222558128,151.7505243887211,173.11434777355427,0.246894735979993,No
14,137.57488553282244,150.88213794114583,152.74744984780435,172.88764736732992,0.4143558608418554,No
15,136.2638683135304,150.92835583459492,154.5733693276937,172.76818439306038,0.7920399139591804,No
16,159.0592072471066,148.80917867090704,156.39645354449382,173.541873376344,0.13197404145972255,No
17,160.08866439046687,152.50953697542394,158.55815165679053,174.12325078202002,0.5203061936048684,No
18,162.1817619931417,156.7388101927858,157.84001265429617,174.91325676945334,0.07452092501217973,No
19,117.38706206900683,161.42304237470432,164.80557808838822,175.8057957232881,1.1744715501492402,No
20,159.37196324966678,164.17384258140444,167.76852004770404,176.70929044051164,0.2985826266328479,No
21,165.8970640383228,165.1409136563176,166.3815716232038,176.35425269701327,0.17802357018728865,No
22,173.00701440864782,164.0545003123566,166.33885148649685,175.3009365100087,1.2478097070217218,No
23,171.14042094894987,165.559797870784,165.62913673503817,173.98097721963344,0.638396514478722,No
24,175.88482865407826,166.2788045392777,165.20445780815822,174.39759597965872,0.4077186140529121,No
25,173.18023400219963,165.76106449710184,165.22161890412798,173.06850470829127,0.19758238319060792,No
26,175.2289987367317,165.40238217234588,165.30663674885966,172.8969613392485,0.2504771896612313,No
27,171.9907068417247,166.05447748023607,154.41296240331346,170.00081647398818,0.07013134703920178,No
28,172.8056834712356,166.44871746640845,134.0480710064497,163.5103046705338,0.26125082557038787,No
29,174.05371507744,166.7397666121946,145.42164350871047,168.44800046343386,0.1825620180316745,No
30,177.79049458727718,170.07033087868876,142.14018522921512,168.7306450091316,0.10579888416413147,No
31,175.07911145625684,169.2552753595147,140.24330916188322,169.0723281179422,0.4365903817725975,No
32,173.53266466694157,168.79260941894847,133.80888357713846,166.16252445916012,1.5675138621869193,No
33,172.0771710787316,169.24296442310174,141.3923060211834,152.28684474863846,0.33597079902245197,No
34,140.96135387902282,169.19106227297792,143.8860465445557,160.39983683758712,0.77119995385902,No
35,166.31527118628188,166.252158134848,103.14457751702848,154.39886552870337,0.7894204835369732,No
36,168.78001015956062,167.54996725429908,120.97024904810745,169.31237082216091,0.8357111247736961,No
37,152.7886590219814,166.3438925780228,136.60341322177632,163.9152057761198,1.2695854739396464,No
