Frame,Left Arm Angle,Right Arm Angle,Left Leg Angle,Right Leg Angle,CoM Velocity,Move Successful
0,143.7237699683474,140.7416757018509,151.55905889101587,173.1774310039022,0,No
1,146.6096442269141,147.22914998022463,154.12014788535083,172.17659964859982,0.03411728734090188,No
2,148.47839848002613,147.16698441679688,150.54701658810345,170.41011066337617,0.125108649817629,No
3,150.40386797208112,147.47235839023648,152.97947904803385,171.16261426348476,0.15432255122654,No
4,151.36088426565826,148.33241071983286,152.79687434120663,169.8915203526626,0.8451750314154823,No
5,152.41357018021904,149.10066669290953,153.36601817159826,168.8451120263953,0.21639676862575588,No
6,152.72964605533394,150.0450271787633,151.95640385054688,168.01621880735829,0.14475631003178646,No
7,152.32659531092938,150.06208539069794,155.17858866219444,166.45707199541388,0.12461595810103401,No
8,153.1404362153999,151.04960812896314,156.12034327092226,167.36025229104334,0.3037676904632312,No
9,155.8358581553677,151.53155401227784,149.98351201417546,150.74781411887506,1.3029692464304554,No
10,154.90224516066323,150.8016999153865,148.8935545072372,138.7539150717728,0.2659442980584723,No
11,155.74944020656346,151.15988391968398,146.1359719258163,124.08170046206858,0.08209758888336037,No
12,156.57223144903307,152.07364510257796,137.23432772685837,58.29978098038412,0.602758165664132,No
13,154.5858665244954,152.40074677783366,134.71126737573928,54.48427801343373,0.7249729353819245,No
14,155.75784601139242,152.85766844672062,136.8021524918551,71.0040542415084,0.15276443465299516,No
15,155.0604814470593,151.94154764515827,149.94905181503844,113.74336147934122,0.7888174764479473,No
16,156.00370801171672,151.93085646333827,148.66669241046918,108.73958423740221,0.5252058245300061,No
17,155.83179496312306,151.96614637386386,148.82151824205684,100.45952338313955,0.13915150291659314,No
18,155.07272455772255,151.52342509014372,137.9291269736562,71.84266009954709,0.1633951844434456,No
19,154.31327036403815,151.69111433132082,147.45652121863694,148.17566742761474,0.6555560131094684,No
20,153.96002181038793,151.97401865009456,142.60820492638632,94.88269506749023,0.3686996887227044,No
21,153.39130298291732,151.2368571200771,133.00590227319321,84.54173873646812,0.125509620720255,No
22,153.13077613027554,151.51356181838412,149.11777735547855,108.84386474102551,0.21092804594128298,No
23,152.94427343735404,152.69211848016732,162.66912469083329,141.19104509876843,0.09886496105660884,No
24,148.3089210628598,152.7721821062931,165.83725660047548,152.39842610583977,0.4706154713602471,No
25,147.87504789868254,152.29121489571256,167.2272554705554,165.0826504844631,0.18496092414368193,No
26,149.446561464613,153.15399853082158,166.78325213441212,155.71553473294048,0.29061398682698125,No
27,148.33637638890147,153.95410704485303,166.25638954174482,154.63378705742227,0.6664009010626653,No
28,147.63786632853223,152.88463477594678,161.43013048770584,144.21906296415338,1.067077442753513,No
29,146.52772113590225,152.38136030391078,162.50108358123268,135.36057290470706,0.2769770942251487,No
30,145.1584731334689,153.83931078930488,164.91414281489926,134.58970182293774,0.24282166899160537,No
31,147.44701100998375,155.05808044307966,167.933819480397,141.61000176013437,0.23889051423152702,No
32,140.7324688887036,156.46915491960962,162.8787006852653,99.64810001291363,0.6152997748912101,No
