Frame,Left Arm Angle,Right Arm Angle,Left Leg Angle,Right Leg Angle,CoM Velocity,Move Successful
0,157.95284692551863,137.02403363633255,156.0302088911531,166.97584378970302,0.0,No
1,159.02892517521985,141.80004472080273,165.45276083862416,168.09078648384923,0.3435157611938079,No
2,157.96700408870188,138.98307635691586,162.51451940447762,170.46333093243024,0.1169101028423158,No
3,158.5792940917202,140.64102450432102,159.27741418993483,173.1364674671056,0.5497391611846705,No
4,157.30701708484946,139.44617456602225,159.23950677942491,173.6859536313883,0.3135481957721238,No
5,156.29403665579042,144.3444613917911,157.49385645001604,173.30424575752622,0.2844514806121738,No
6,156.4792746927559,147.19155331238358,156.62567305754686,173.1427460494452,0.4559862954235683,No
7,155.31546112925568,147.7797941501623,157.8908321079436,172.6802214539461,0.224909641712091,No
8,154.7069214794463,147.91831411541202,153.7533516885959,172.14135549833145,0.2098223915496255,No
9,154.86561842786458,144.3172884728058,153.3336059115037,171.283885149338,0.5207093008954513,No
10,153.99588969790824,147.22656903948334,153.7953665202253,171.81408096864146,0.3256802643921987,No
11,153.6158012483915,148.72652080471997,151.45627856260575,172.09629838720662,1.5036663440513516,No
12,149.00472133086157,148.52639049399514,155.07839930488254,172.20786261809826,0.1578399696472813,No
13,141.9154248014523,148.88143222558128,151.7505243887211,173.11434777355427,0.246894735979993,No
14,137.57488553282244,150.88213794114583,152.74744984780435,172.88764736732992,0.4143558608418554,No
15,136.2638683135304,150.92835583459492,154.5733693276937,172.76818439306038,0.7920399139591804,No
16,159.0592072471066,148.80917867090704,156.39645354449382,173.541873376344,0.1319740414597225,No
17,160.08866439046687,152.50953697542394,158.55815165679053,174.12325078202002,0.5203061936048684,No
18,162.1817619931417,156.7388101927858,157.84001265429615,174.91325676945334,0.0745209250121797,No
19,117.38706206900684,161.42304237470432,164.80557808838822,175.8057957232881,1.1744715501492402,No
20,159.37196324966678,164.17384258140444,167.76852004770404,176.70929044051164,0.2985826266328479,No
