Frame,Left Arm Angle,Right Arm Angle,Left Leg Angle,Right Leg Angle,CoM Velocity,Move Successful
0,161.65462792821543,175.6694998783916,157.11328287239215,171.12878419817318,0.0,Yes
1,162.5980391787586,174.01036451413003,157.05708433259423,171.77136883270512,0.0758908358262118,Yes
2,145.4012065060456,173.20027613695285,163.16348026418058,171.921119540415,0.3722161724395135,Yes
3,140.13905886786426,172.7121716316854,164.54195528820105,172.58433976708974,1.609890183007066,Yes
4,136.60551241920265,172.5094550631225,162.2587771914116,170.5798683791718,0.8274693405082757,Yes
5,138.91748759539942,171.5184671944611,164.7033350785893,171.11515661778438,0.2857268235657224,Yes
6,144.0606550427825,172.57592147486454,164.6006277715186,173.07885218608686,0.5693767301783178,Yes
7,148.65048625894113,168.2970585913538,168.62358816254107,172.49262437396297,0.448247162617384,Yes
8,159.031776107401,160.32835781328734,171.5838520513924,170.5433358532983,0.2004089415927574,Yes
9,150.85342422043053,160.07900990433862,170.52418393242817,170.50823002610264,0.180720743823344,Yes
10,152.63857186922343,169.5077226256969,164.87218952959094,168.8408078009761,0.4423913801465141,Yes
11,154.08678732701435,161.94401362948798,163.0828353805851,168.70491174321424,0.4902384348036942,Yes
12,153.52541217661425,175.70880921560357,160.27056437888183,167.94390189873013,0.837650860207878,Yes
13,152.73931557158792,176.79897856714152,161.8634362117584,171.65726673214834,1.0967918627589737,Yes
14,164.8389621251724,177.21969175199263,156.8669466783474,168.68605492164093,0.1723197252428881,Yes
15,163.15019357719953,176.92719225920433,162.96260297937843,167.94232115824568,0.2883513321768294,Yes
16,164.01949496339353,177.73480186787717,163.74769059943375,170.40254975176347,0.7229901029984973,Yes
17,163.4777284775201,172.9609030927184,165.28497176244835,170.8489482906937,0.6628667036398113,Yes
18,160.30301784415803,169.62012022572958,162.6446120925935,169.33894765425208,0.8620950968460851,Yes
19,157.03633459284828,166.7099500176599,163.15444628197116,170.23081363572564,0.7589489141971714,Yes
20,157.49459884250564,165.45827164290563,158.12903425276843,162.77781363375303,0.5579358902521907,Yes
21,153.2629297999258,164.31595371659407,163.1836240941262,162.5904749556952,0.8055792613311926,Yes
22,147.38358472660838,163.09178779722262,158.9741777260446,155.63926291018063,0.8480794852818194,Yes
23,144.86574044362823,162.9209414843099,145.2876004874773,141.03565364988984,0.694584496826923,Yes
24,145.513074631045,158.65678748102656,165.88265542785146,150.50471569411832,1.3543696579817883,Yes
25,145.2602087881836,159.57144736141595,170.88904197040887,155.9607691150531,0.6952891221525033,Yes
26,142.75015620648657,158.957098143932,172.76365717539036,157.56084123196516,0.6448117141306084,Yes
27,136.9042866503145,159.91136128775915,175.9141679298954,161.8059153915035,0.6103554501443842,Yes
28,133.72286593830663,158.0855526521483,178.53969249433283,164.85562052918968,1.2743204566440978,Yes
29,132.5192993078641,159.53105139284557,178.27660662237344,166.19147621248965,0.3781573297132288,Yes
30,96.3562252045708,158.83878079998925,175.79112009933348,168.24844586928637,0.908427540797782,Yes
31,119.64465884948105,156.80622694534352,173.36747634963382,168.56412486934488,0.3856746348411697,Yes
32,158.59724256071027,158.5560031758274,171.30689062454917,168.1074167135783,0.1189643090986383,Yes
33,168.53868503171026,159.5388312955088,173.80585112124749,168.75190450523172,0.410299678038796,Yes
34,168.79577122798204,159.09676552708615,167.57208771190218,164.34722460382372,0.1360829206192414,Yes
35,167.15628416680534,157.86247408588477,176.637742206481,167.77333509170015,0.1440058780328197,Yes
36,161.79510878811203,157.27370849008122,173.32127359341965,167.68754891794697,0.4521738198258954,Yes
37,158.0016907713112,155.6915309581441,175.53567982311196,168.94926452116178,0.1467599835758103,Yes
38,146.30969615650469,154.83387567523818,172.69388878908376,168.91445930418982,0.7399298781437044,Yes
39,147.61654986668765,157.51736591197772,170.1815907296751,170.15318014335097,0.2994328331860255,Yes
40,140.5371618464604,150.19696226604373,147.58848886248882,168.99759682803156,0.9006921943725487,Yes
41,130.89331989512593,155.09959843262615,152.00129909240513,171.025980730435,0.466179804358466,Yes
42,114.8139628733105,151.80808389101566,147.60278241691492,174.08810377314526,1.0283691687116872,Yes
43,102.61875359028936,151.3196235242619,126.60800025243898,173.13938431276054,0.6323261345681428,Yes
44,97.11335925324842,146.6119749742576,119.80899277049632,143.75911307403766,0.4704151370875342,Yes
45,105.8940975479677,147.34446380701377,113.15741848974768,112.444993734283,0.7202450953698103,Yes
46,102.71935702004662,148.9206526514191,111.27445517527956,77.82200782277141,0.9457449923453844,Yes
47,115.19118694703366,148.0677352092889,129.26977590918406,118.20203597186712,0.2047665568039609,Yes
48,110.79256774478438,150.11883340133954,135.12056436719672,117.80625338001364,0.6655686414997801,Yes
49,116.17024080635538,150.52169624219155,133.6094077756469,103.20039962390815,0.8861350240127418,Yes
50,121.68353723991817,150.59767271278298,132.44870370604215,94.07868348409254,0.5275164727525911,Yes
51,118.35204096940096,145.12177158633835,132.24344520903082,89.35362151008577,0.2108153251828831,Yes
52,134.3779181780942,143.6547872862882,136.57954674631495,95.59270852477728,0.7626641942045578,Yes
53,148.34620190098315,144.3986915022541,136.43608502435657,102.46489300517368,0.0919913998212513,Yes
54,163.7698070446817,145.3852107794913,131.84451415466498,97.79751870694103,0.5020560399689086,Yes
55,151.20673158672534,152.45730257583972,132.54944789059263,93.7729593829056,0.6572157045382162,Yes
56,135.47610529475807,152.4415344208174,132.39453652365583,99.450749175431,0.2544991036880846,Yes
57,117.61387880119634,144.87069935236846,124.99106811829242,109.53891353908844,0.716296164655387,Yes
58,108.58251742729104,143.41537425397922,116.5311539835841,107.86728362921524,0.7155255942046946,Yes
59,109.8350718786412,132.6958001040052,120.61930197343,105.31194410915904,0.3517922561545926,Yes
60,112.03227622430111,139.19323955295314,123.95536452412138,115.55621812581404,0.3483388213012969,Yes
61,103.52156129477338,133.89668933222106,122.46963771096074,92.49185020491376,1.5265172421210125,Yes
62,108.42471992754464,134.5375829486582,129.59559753243258,129.52929619074098,0.4616140375117418,Yes
63,127.1794986532004,142.21325642095096,131.3577386728108,166.78919542103992,0.5707194470991707,Yes
64,111.97126453493652,144.7058478324041,137.6573953515938,161.0380773959799,0.3716875954254984,Yes
65,107.38342988148996,147.7476427914955,143.3082974497787,169.59770493138595,0.5872709906952265,Yes
66,103.86613660621428,151.06497415251053,143.44100097607665,174.1735607155563,0.2751760378171383,Yes
67,105.22660649840896,153.22548030348372,153.60214914889863,166.44540099231082,0.5218619059689822,Yes
68,144.18121233147113,155.87946872753798,162.27729882700612,166.71516588009848,0.2282483493737112,Yes
69,153.86853207982614,154.76461367616227,171.52811947573082,167.38012162373502,0.3296145366040308,Yes
70,150.63291567652877,152.9790198512313,161.18466147149948,171.01464408458233,0.1587453973624491,Yes
71,151.0028171066465,148.52353844309087,164.08269400223486,171.01202998548288,0.2411480287492223,Yes
72,159.68628433488334,144.50126007107067,169.16515750814247,171.16232827975617,0.1415515651763201,Yes
73,144.92321568104106,147.7634497365072,164.53336881888288,169.06136225045512,0.1461983073439375,Yes
74,146.71506438833043,149.5397118746844,170.80146246371856,170.15257209883382,0.4982017574383384,Yes
75,160.48836370985666,152.48440501190373,175.8146425240982,170.7276272544224,0.2767375930166579,Yes
76,165.96252631769073,151.5417666169855,171.61543965950398,170.45610023346924,0.4139187029811706,Yes
